region_id,region_name,state_name,cbsa_code,cbsa_title,match_score,match_method,needs_review
394424,"Bucyrus, OH",OH,15340,"Bucyrus, OH",100,city+state_fuzzy,False
395158,"Tifton, GA",GA,45700,"Tifton, GA",100,city+state_fuzzy,False
394934,"Okeechobee, FL",FL,36380,"Okeechobee, FL",100,city+state_fuzzy,False
394663,"Hannibal, MO",MO,25300,"Hannibal, MO",100,city+state_fuzzy,False
394771,"Laramie, WY",WY,29660,"Laramie, WY",100,city+state_fuzzy,False
394506,"Coshocton, OH",OH,18740,"Coshocton, OH",100,city+state_fuzzy,False
394781,"Lebanon, MO",MO,30060,"Lebanon, MO",100,city+state_fuzzy,False
394536,"Dodge City, KS",KS,19980,"Dodge City, KS",100,city+state_fuzzy,False
394730,"Juneau, AK",AK,27940,"Juneau, AK",100,city+state_fuzzy,False
394670,"Hastings, NE",NE,25580,"Hastings, NE",100,city+state_fuzzy,False
394376,"Beeville, TX",TX,13300,"Beeville, TX",100,city+state_fuzzy,False
394508,"Crescent City, CA",CA,18860,"Crescent City, CA",100,city+state_fuzzy,False
395154,"Thomaston, GA",GA,45580,"Thomaston, GA",100,city+state_fuzzy,False
395181,"Uvalde, TX",TX,46620,"Uvalde, TX",100,city+state_fuzzy,False
394953,"Paducah, KY",KY,37140,"Paducah, KY-IL",100,city+state_fuzzy,False
394964,"Parkersburg, WV",WV,37620,"Parkersburg-Vienna, WV",100,city+state_fuzzy,False
394936,"Olean, NY",NY,36460,"Olean, NY",100,city+state_fuzzy,False
394738,"Keene, NH",NH,28300,"Keene, NH",100,city+state_fuzzy,False
394764,"Lake City, FL",FL,29380,"Lake City, FL",100,city+state_fuzzy,False
394899,"Nacogdoches, TX",TX,34860,"Nacogdoches, TX",100,city+state_fuzzy,False
394787,"Lewiston, ID",ID,30300,"Lewiston, ID-WA",100,city+state_fuzzy,False
395049,"Salina, KS",KS,41460,"Salina, KS",100,city+state_fuzzy,False
394411,"Branson, MO",MO,14700,"Branson, MO",100,city+state_fuzzy,False
753920,"Sonora, CA",CA,43760,"Sonora, CA",100,city+state_fuzzy,False
394989,"Point Pleasant, WV",OH,,,50,unmatched,True
394652,"Greenville, OH",OH,24820,"Greenville, OH",100,city+state_fuzzy,False
394316,"Alice, TX",TX,10860,"Alice, TX",100,city+state_fuzzy,False
394500,"Cornelia, GA",GA,18460,"Cornelia, GA",100,city+state_fuzzy,False
395208,"Washington, NC",NC,47820,"Washington, NC",100,city+state_fuzzy,False
394842,"McAlester, OK",OK,32540,"McAlester, OK",100,city+state_fuzzy,False
395034,"Rockingham, NC",NC,40460,"Rockingham, NC",100,city+state_fuzzy,False
394449,"Celina, OH",OH,16380,"Celina, OH",100,city+state_fuzzy,False
395026,"Riverton, WY",WY,40180,"Riverton, WY",100,city+state_fuzzy,False
394948,"Owatonna, MN",MN,36940,"Owatonna, MN",100,city+state_fuzzy,False
394992,"Pontiac, IL",IL,38700,"Pontiac, IL",100,city+state_fuzzy,False
395211,"Watertown, SD",SD,47980,"Watertown, SD",100,city+state_fuzzy,False
395150,"Taylorville, IL",IL,45380,"Taylorville, IL",100,city+state_fuzzy,False
394335,"Arcadia, FL",FL,11580,"Arcadia, FL",100,city+state_fuzzy,False
394846,"McPherson, KS",KS,32700,"McPherson, KS",100,city+state_fuzzy,False
753901,"Ludington, MI",MI,31220,"Ludington, MI",100,city+state_fuzzy,False
394830,"Marshall, MN",MN,32140,"Marshall, MN",100,city+state_fuzzy,False
394644,"Great Falls, MT",MT,24500,"Great Falls, MT",100,city+state_fuzzy,False
394682,"Hinesville, GA",GA,25980,"Hinesville, GA",100,city+state_fuzzy,False
395231,"Wilson, NC",NC,48980,"Wilson, NC",100,city+state_fuzzy,False
394825,"Marinette, WI",WI,31940,"Marinette, WI-MI",100,city+state_fuzzy,False
395040,"Roswell, NM",NM,40740,"Roswell, NM",100,city+state_fuzzy,False
394889,"Mount Vernon, OH",OH,34540,"Mount Vernon, OH",100,city+state_fuzzy,False
394939,"Oneonta, NY",NY,36580,"Oneonta, NY",100,city+state_fuzzy,False
394605,"Fort Madison, IA",IA,22800,"Fort Madison, IA",100,city+state_fuzzy,False
395216,"Waycross, GA",GA,48180,"Waycross, GA",100,city+state_fuzzy,False
394604,"Fort Leonard Wood, MO",MO,22780,"Fort Leonard Wood, MO",100,city+state_fuzzy,False
394742,"Kerrville, TX",TX,28500,"Kerrville, TX",100,city+state_fuzzy,False
394887,"Mount Sterling, KY",KY,34460,"Mount Sterling, KY",100,city+state_fuzzy,False
394883,"Moultrie, GA",GA,34220,"Moultrie, GA",100,city+state_fuzzy,False
394476,"Clewiston, FL",FL,17500,"Clewiston, FL",100,city+state_fuzzy,False
394436,"Campbellsville, KY",KY,15820,"Campbellsville, KY",100,city+state_fuzzy,False
395165,"Troy, AL",AL,45980,"Troy, AL",100,city+state_fuzzy,False
394383,"Berlin, NH",NH,,,40,unmatched,True
395206,"Washington Court House, OH",OH,47920,"Washington Court House, OH",100,city+state_fuzzy,False
394649,"Greensburg, IN",IN,24700,"Greensburg, IN",100,city+state_fuzzy,False
753909,"Ottawa, KS",KS,36840,"Ottawa, KS",100,city+state_fuzzy,False
394584,"Fallon, NV",NV,21980,"Fallon, NV",100,city+state_fuzzy,False
395138,"Summerville, GA",GA,44900,"Summerville, GA",100,city+state_fuzzy,False
395004,"Prineville, OR",OR,,,57,unmatched,True
394441,"Cape Girardeau, MO",MO,16020,"Cape Girardeau, MO-IL",100,city+state_fuzzy,False
394809,"Lufkin, TX",TX,31260,"Lufkin, TX",100,city+state_fuzzy,False
395248,"Zanesville, OH",OH,49780,"Zanesville, OH",100,city+state_fuzzy,False
394822,"Manitowoc, WI",WI,31820,"Manitowoc, WI",100,city+state_fuzzy,False
395085,"Seneca, SC",SC,42860,"Seneca, SC",100,city+state_fuzzy,False
