cbsa_code,cbsa_title,cbsa_type,primary_state,state_list
23820,"Gardnerville Ranchos, NV-CA",micro,NV,NV-CA
23900,"Gettysburg, PA",metro,PA,PA
23940,"Gillette, WY",micro,WY,WY
23980,"Glasgow, KY",micro,KY,KY
24020,"Glens Falls, NY",metro,NY,NY
24100,"Gloversville, NY",micro,NY,NY
24140,"Goldsboro, NC",metro,NC,NC
24180,"Granbury, TX",micro,TX,TX
24220,"Grand Forks, ND-MN",metro,ND,ND-MN
24260,"Grand Island, NE",metro,NE,NE
24300,"Grand Junction, CO",metro,CO,CO
24330,"Grand Rapids, MN",micro,MN,MN
24340,"Grand Rapids-Wyoming-Kentwood, MI",metro,MI,MI
24420,"Grants Pass, OR",metro,OR,OR
24460,"Great Bend, KS",micro,KS,KS
24500,"Great Falls, MT",metro,MT,MT
24540,"Greeley, CO",metro,CO,CO
24580,"Green Bay, WI",metro,WI,WI
24600,"Greencastle, IN",micro,IN,IN
24620,"Greeneville, TN",micro,TN,TN
24640,"Greenfield, MA",micro,MA,MA
24660,"Greensboro-High Point, NC",metro,NC,NC
24700,"Greensburg, IN",micro,IN,IN
24740,"Greenville, MS",micro,MS,MS
24780,"Greenville, NC",metro,NC,NC
24820,"Greenville, OH",micro,OH,OH
24860,"Greenville-Anderson-Greer, SC",metro,SC,SC
24900,"Greenwood, MS",micro,MS,MS
24940,"Greenwood, SC",micro,SC,SC
24980,"Grenada, MS",micro,MS,MS
25020,"Guayama, PR",metro,PR,PR
25060,"Gulfport-Biloxi, MS",metro,MS,MS
25100,"Guymon, OK",micro,OK,OK
25180,"Hagerstown-Martinsburg, MD-WV",metro,MD,MD-WV
25200,"Hailey, ID",micro,ID,ID
25220,"Hammond, LA",metro,LA,LA
25260,"Hanford-Corcoran, CA",metro,CA,CA
25300,"Hannibal, MO",micro,MO,MO
25420,"Harrisburg-Carlisle, PA",metro,PA,PA
25460,"Harrison, AR",micro,AR,AR
25500,"Harrisonburg, VA",metro,VA,VA
25540,"Hartford-West Hartford-East Hartford, CT",metro,CT,CT
25580,"Hastings, NE",micro,NE,NE
25620,"Hattiesburg, MS",metro,MS,MS
25700,"Hays, KS",micro,KS,KS
25720,"Heber, UT",micro,UT,UT
25740,"Helena, MT",metro,MT,MT
25770,"Hemlock Farms, PA",micro,PA,PA
25775,"Henderson, KY",micro,KY,KY
25780,"Henderson, NC",micro,NC,NC
25820,"Hereford, TX",micro,TX,TX
25840,"Hermiston-Pendleton, OR",micro,OR,OR
25850,"Hermitage, PA",micro,PA,PA
25860,"Hickory-Lenoir-Morganton, NC",metro,NC,NC
25880,"Hillsdale, MI",micro,MI,MI
25900,"Hilo-Kailua, HI",micro,HI,HI
25940,"Hilton Head Island-Bluffton-Port Royal, SC",metro,SC,SC
25980,"Hinesville, GA",metro,GA,GA
26020,"Hobbs, NM",micro,NM,NM
26090,"Holland, MI",micro,MI,MI
26140,"Homosassa Springs, FL",metro,FL,FL
