station,cbsa_code
US1CASC0057,41940
US1CASD0001,41740
US1CASD0004,41740
US1CASD0006,41740
US1CASD0007,41740
US1CASD0008,41740
US1CASD0009,41740
US1CASD0010,41740
US1CASD0011,41740
US1CASD0012,41740
US1CASD0014,41740
US1CASD0015,41740
US1CASD0018,41740
US1CASD0022,41740
US1CASD0023,41740
US1CASD0024,41740
US1CASD0027,41740
US1CASD0029,41740
US1CASD0030,41740
US1CASD0035,41740
US1CASD0040,41740
US1CASD0047,41740
US1CASD0049,41740
US1CASD0052,41740
US1CASD0053,41740
US1CASD0054,41740
US1CASD0055,41740
US1CASD0057,41740
US1CASD0059,41740
US1CASD0060,41740
US1CASD0061,41740
US1CASD0063,41740
US1CASD0074,41740
US1CASD0076,41740
US1CASD0080,41740
US1CASD0086,41740
US1CASD0090,41740
US1CASD0097,41740
US1CASD0099,41740
US1CASD0101,41740
US1CASD0104,41740
US1CASD0105,41740
US1CASD0110,41740
US1CASD0114,41740
US1CASD0115,41740
US1CASD0120,41740
US1CASD0128,41740
US1CASD0130,41740
US1CASD0131,41740
US1CASD0132,41740
US1CASD0133,41740
US1CASD0148,41740
US1CASD0180,41740
US1CASF0004,41860
US1CASH0006,39820
US1CASH0010,39820
US1CASH0011,39820
US1CASH0018,39820
US1CASH0051,39820
US1CASH0056,39820
US1CASH0068,39820
US1CASH0071,39820
US1CASJ0001,44700
US1CASJ0004,44700
US1CASJ0005,44700
US1CASJ0011,44700
US1CASM0001,41860
US1CASM0006,41860
US1CASM0007,41860
US1CASM0015,41860
US1CASM0016,41860
US1CASM0022,41860
US1CASM0032,41860
US1CASN0016,42220
US1CASN0029,42220
US1CASN0049,42220
US1CASN0061,42220
US1CASN0062,42220
US1CASN0070,42220
US1CASN0071,42220
US1CASN0074,42220
US1CASN0080,42220
US1CASN0088,42220
US1CASN0089,42220
US1CASN0090,42220
US1CASN0098,42220
US1CASN0112,42220
US1CASN0116,42220
US1CASO0007,46700
US1CASR0009,40140
US1CASR0014,40140
US1CASR0026,40140
US1CASR0029,40140
US1CASR0034,40140
US1CASR0036,40140
US1CASR0046,40140
US1CASR0053,40140
US1CASR0055,40140
US1CASR0058,40140
US1CASR0072,40140
US1CASS0001,33700
US1CASS0006,33700
US1CAST0005,41940
US1CASZ0021,42100
US1CASZ0024,42100
US1CASZ0028,42100
US1CASZ0036,42100
US1CASZ0051,42100
US1CATH0029,39780
US1CATL0011,47300
US1CATL0017,47300
US1CAVT0001,37100
US1CAVT0002,37100
US1CAVT0016,37100
US1CAYB0001,49700
US1CAYB0003,49700
US1CAYL0001,40900
US1CAYL0002,40900
US1CAYL0009,40900
US1CAYL0010,40900
US1CAYL0014,40900
US1CAYL0019,40900
US1CAYL0021,40900
US1COAD0022,19740
US1COAD0082,19740
US1COAD0087,19740
US1COAD0100,19740
US1COAD0120,19740
US1COAD0123,19740
US1COAD0127,19740
US1COAD0204,19740
US1COAD0216,19740
US1COAM0001,10480
US1COAM0010,10480
US1COAM0021,10480
US1COAM0032,10480
US1COAR0043,19740
US1COAR0068,19740
US1COAR0071,19740
US1COAR0085,19740
US1COAR0099,19740
US1COAR0105,19740
US1COAR0164,19740
US1COAR0207,19740
US1COAR0214,19740
US1COAR0270,19740
US1COAR0273,19740
US1COAR0288,19740
US1COAR0313,19740
US1COAR0314,19740
US1COBO0002,19740
US1COBO0004,14500
US1COBO0008,14500
US1COBO0009,14500
US1COBO0014,14500
US1COBO0022,14500
US1COBO0030,14500
US1COBO0035,14500
US1COBO0042,14500
US1COBO0057,14500
US1COBO0067,14500
US1COBO0072,14500
US1COBO0075,14500
US1COBO0084,14500
US1COBO0092,14500
US1COBO0110,14500
US1COBO0135,14500
US1COBO0137,14500
US1COBO0143,14500
US1COBO0144,14500
US1COBO0146,14500
US1COBO0149,14500
US1COBO0165,14500
US1COBO0202,14500
US1COBO0220,14500
US1COBO0222,14500
US1COBO0248,14500
US1COBO0266,14500
US1COBO0285,14500
US1COBO0286,14500
US1COBO0290,14500
US1COBO0298,14500
US1COBO0322,14500
US1COBO0338,14500
US1COBO0343,14500
US1COBO0352,14500
US1COBO0361,14500
US1COBO0465,14500
US1COBR0013,19740
US1COBR0032,19740
US1COBR0040,19740
US1COCC0001,19740
US1COCC0002,19740
US1COCC0018,19740
US1COCN0006,10480
US1COCS0012,10480
US1COCS0019,10480
US1CODG0030,19740
US1CODG0032,19740
US1CODG0062,19740
US1CODG0074,19740
US1CODG0133,19740
US1CODG0149,19740
US1CODG0158,19740
US1CODG0162,19740
US1CODG0174,19740
US1CODG0176,19740
US1CODG0180,19740
US1CODG0196,19740
US1CODG0205,19740
US1CODG0228,19740
US1CODG0229,19740
US1CODG0282,19740
US1CODN0016,19740
US1CODN0025,19740
US1CODN0049,19740
US1CODN0074,19740
US1CODN0077,19740
US1CODN0079,19740
US1CODN0141,19740
US1CODN0175,19740
US1COEG0006,20780
US1COEG0008,20780
US1COEG0021,20780
US1COEG0037,20780
US1COEL0005,19740
US1COEL0010,19740
US1COEL0046,19740
US1COEL0063,19740
US1COEL0075,19740
US1COEP0007,17820
US1COEP0012,17820
US1COEP0037,17820
US1COEP0055,17820
US1COEP0058,17820
US1COEP0061,17820
US1COEP0064,17820
US1COEP0068,17820
US1COEP0158,17820
US1COEP0175,17820
US1COEP0188,17820
US1COEP0189,17820
US1COEP0192,17820
US1COEP0194,17820
US1COEP0210,17820
US1COEP0234,17820
US1COEP0264,17820
US1COEP0291,17820
US1COEP0311,17820
US1COEP0333,17820
US1COEP0337,17820
US1COEP0356,17820
US1COEP0396,17820
US1COFM0008,15860
US1COFM0009,15860
US1COFM0011,15860
US1COFM0019,15860
US1COFM0021,15860
US1COFM0034,15860
US1COFM0050,15860
US1COGF0001,40090
US1COGF0002,40090
US1COGF0040,40090
US1COGF0047,40090
US1COGF0049,40090
US1COGF0060,40090
US1COGL0020,19740
US1COJF0001,19740
US1COJF0003,19740
US1COJF0020,19740
US1COJF0051,19740
US1COJF0061,19740
US1COJF0063,19740
US1COJF0072,19740
US1COJF0081,19740
US1COJF0125,19740
US1COJF0128,19740
US1COJF0157,19740
US1COJF0179,19740
US1COJF0212,19740
US1COJF0240,19740
US1COJF0267,19740
US1COJF0290,19740
